organism	domain	temperature	taxid	lineage_text	superkingdom	phylum	class	order	family	genus
abiotrophia_adiacens	Bacteria	37	46124	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella	2	1239	91061	186826	186828	117563
abiotrophia_balaenopterae	Bacteria	37	137733	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella	2	1239	91061	186826	186828	117563
abiotrophia_defectiva	Bacteria	37	46125	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Abiotrophia	2	1239	91061	186826	186827	46123
abiotrophia_elegans	Bacteria	37	137732	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella	2	1239	91061	186826	186828	117563
abortiporus_biennis	Eukaryota	26	137743	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetes incertae sedis; Polyporales; Coriolaceae; Abortiporus	2759	5204	155619	5303	83233	137742
absidia_anomala	Eukaryota	24	420591	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_atrospora	Eukaryota	26	327746	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Lichtheimiaceae; Lichtheimia; Lichtheimia blakesleeana	2759	1913637	NA	4827	499202	688353
absidia_blakesleeana	Eukaryota	25	101563	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Lichtheimiaceae; Lichtheimia	2759	1913637	NA	4827	499202	688353
absidia_californica	Eukaryota	24	327741	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_coerulea	Eukaryota	24	90261	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_corymbifera	Eukaryota	25	42458	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Lichtheimiaceae; Lichtheimia	2759	1913637	NA	4827	499202	688353
absidia_cuneospora	Eukaryota	24	420592	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_cylindrospora	Eukaryota	24	213030	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_fusca	Eukaryota	24	983175	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_glauca	Eukaryota	24	4829	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_heterospora	Eukaryota	24	1126813	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_hyalospora	Eukaryota	24	420593	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Lichtheimiaceae; Lichtheimia	2759	1913637	NA	4827	499202	688353
absidia_idahoensis	Eukaryota	26	572091	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_macrospora	Eukaryota	24	327742	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_parricida	Eukaryota	24	327271	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Lentamycetaceae; Lentamyces	2759	1913637	NA	4827	1344954	565135
absidia_pseudocylindrospora	Eukaryota	24	420594	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_ramosa	Eukaryota	24	688394	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Lichtheimiaceae; Lichtheimia	2759	1913637	NA	4827	499202	688353
absidia_reflexa	Eukaryota	24	255811	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_repens	Eukaryota	24	90262	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_sp	Eukaryota	32	1982014	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_spinosa	Eukaryota	25	126712	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Cunninghamellaceae; Absidia	2759	1913637	NA	4827	4851	4828
absidia_zychae	Eukaryota	24	36079	cellular organisms; Eukaryota; Opisthokonta; Fungi; Mucoromycota; Mucoromycotina; Mucorales; Lentamycetaceae; Lentamyces	2759	1913637	NA	4827	1344954	565135
abyssicoccus_albus	Bacteria	28	1817405	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Abyssicoccus	2	1239	91061	1385	90964	1955413
abyssivirga_alkaniphila	Bacteria	37	1675854	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Abyssivirga	2	1239	186801	186802	186803	1792300
acanthamoeba_astronyxis	Eukaryota	25	65658	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_castellanii	Eukaryota	25	5755	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_comandoni	Eukaryota	25	65659	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_culbertsoni	Eukaryota	25	43142	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_divionensis	Eukaryota	25	202919	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_echinulata	Eukaryota	25	306324	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_griffini	Eukaryota	28	29195	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_hatchetti	Eukaryota	25	65660	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_healyi	Eukaryota	25	65661	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_jacobsi	Eukaryota	25	238784	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_lenticulata	Eukaryota	30	29196	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_lugdunensis	Eukaryota	25	61605	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_mauritaniensis	Eukaryota	34	196912	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_palestinensis	Eukaryota	28	28015	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_pearcei	Eukaryota	27	65662	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_polyphaga	Eukaryota	25	5757	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_pustulosa	Eukaryota	25	65663	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_quina	Eukaryota	25	211522	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_rhysodes	Eukaryota	25	32599	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_royreba	Eukaryota	25	32600	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
acanthamoeba_sp	Eukaryota	27	5756	cellular organisms; Eukaryota; Amoebozoa; Discosea; Longamoebia; Centramoebida; Acanthamoebidae; Acanthamoeba	2759	NA	NA	1485168	33677	5754
