group,param,value,seed,epochs_run,best_val_tm_mae,best_val_ogt_mae,runtime_sec
data,ogt_subsample_meso_rate,0.0,1,15,3.6996,9.582,641.3
data,ogt_subsample_meso_rate,0.02,1,14,3.6721,9.1366,221.0
data,ogt_subsample_meso_rate,0.08,1,14,3.6795,8.6137,249.7
data,ogt_subsample_meso_rate,0.1,1,15,3.6784,7.8534,277.7
data,ogt_subsample_meso_rate,0.12,1,15,3.666,7.8211,298.3
data,ogt_subsample_meso_rate,0.16,1,15,3.654,7.8732,321.7
data,ogt_subsample_meso_rate,0.18,1,15,3.657,7.9489,329.5
data,ogt_subsample_meso_rate,0.2,1,15,3.664,7.8013,342.7
data,ogt_subsample_meso_rate,0.3,1,15,3.633,7.4506,375.4
data,ogt_subsample_meso_rate,0.4,1,14,3.6476,7.451,389.9
data,ogt_subsample_meso_rate,0.5,1,15,3.6549,7.0587,465.8
data,ogt_subsample_meso_rate,0.7,1,15,3.6443,6.6506,566.4
data,ogt_subsample_meso_rate,1.0,1,15,3.6221,6.612,705.8
data,seq_len_min,50,1,15,3.6537,7.9499,291.2
data,seq_len_min,100,1,14,3.663,7.2361,612.2
data,seq_len_min,150,1,15,3.5566,7.1663,545.1
data,seq_len_min,200,1,12,3.5653,7.1865,425.4
loss,huber_delta_ogt,5,1,15,3.6537,8.3716,294.4
loss,huber_delta_ogt,8,1,15,3.6537,8.2323,290.0
loss,huber_delta_ogt,10,1,15,3.6537,8.1407,291.1
loss,huber_delta_ogt,12,1,15,3.6537,8.0471,297.4
loss,huber_delta_ogt,15,1,15,3.6537,7.9499,292.2
loss,huber_delta_ogt,18,1,15,3.6537,7.8543,289.5
loss,huber_delta_ogt,20,1,15,3.6537,7.8099,291.0
loss,huber_delta_ogt,25,1,15,3.6537,7.7515,289.7
loss,focal_gamma,0.5,1,15,3.6537,8.038,291.1
loss,focal_gamma,1.0,1,15,3.6537,8.0178,292.1
loss,focal_gamma,1.5,1,15,3.6537,7.9616,291.1
loss,focal_gamma,2.0,1,15,3.6537,7.9499,291.3
loss,focal_gamma,2.5,1,15,3.6537,7.9114,290.3
loss,focal_gamma,3.0,1,15,3.6537,7.8958,290.0
loss,focal_beta,0.1,1,15,3.6537,8.0428,291.2
loss,focal_beta,0.3,1,15,3.6537,7.9775,291.5
loss,focal_beta,0.5,1,15,3.6537,7.9499,291.5
loss,focal_beta,0.7,1,15,3.6537,7.9448,291.5
loss,focal_beta,1.0,1,15,3.6537,7.9526,291.8
loss,weight_clamp_max,5,1,15,3.6545,7.9395,291.3
loss,weight_clamp_max,10,1,15,3.654,7.9703,291.5
loss,weight_clamp_max,15,1,15,3.6538,7.9437,291.7
loss,weight_clamp_max,20,1,15,3.6537,7.9362,291.0
loss,weight_clamp_max,22,1,15,3.6537,7.9499,291.5
loss,weight_clamp_max,25,1,15,3.6536,7.9415,291.0
loss,weight_clamp_max,30,1,15,3.6536,7.9505,291.2
loss,weight_clamp_max,50,1,15,3.6535,7.9357,291.1
loss,loss_tm_type,nll_softplus,1,15,3.6537,7.9499,291.5
loss,loss_tm_type,huber_5,1,15,3.673,8.0545,279.0
loss,loss_tm_type,huber_10,1,15,3.6672,8.0545,278.9
loss,loss_tm_type,mse,1,15,3.708,8.0545,278.5
loss,loss_tm_type,mae,1,15,3.6726,8.0545,278.1
loss,loss_tm_type,quantile,1,15,3.6935,7.9413,309.6
arch,mlp_layers,2,1,15,3.7343,7.8742,264.6
arch,mlp_layers,3,1,15,3.6537,7.9499,291.1
arch,mlp_layers,4,1,15,3.6402,8.1352,315.8
arch,mlp_layers,5,1,15,3.6449,7.9331,341.4
arch,hidden_size_1,128,1,15,3.6654,8.1573,286.8
arch,hidden_size_1,256,1,15,3.6837,8.076,278.0
arch,hidden_size_1,512,1,15,3.6537,7.9499,290.5
arch,hidden_size_1,768,1,15,3.6891,7.6765,290.0
arch,hidden_size_1,1024,1,15,3.6976,7.9522,289.8
arch,dropout_1,0.1,1,15,3.6608,7.792,289.6
arch,dropout_1,0.2,1,15,3.6477,7.803,290.3
arch,dropout_1,0.3,1,15,3.6537,7.9499,290.8
arch,dropout_1,0.4,1,15,3.6824,7.9184,290.8
arch,dropout_1,0.5,1,15,3.6654,7.9592,291.6
arch,proj_dim,32,1,14,3.657,8.1128,272.2
arch,proj_dim,64,1,15,3.6537,7.9499,291.1
arch,proj_dim,128,1,15,3.7016,8.1337,290.6
arch,proj_dim,256,1,15,3.681,7.7829,291.4
arch,norm_type,layernorm,1,15,3.6537,7.9499,291.0
arch,norm_type,batchnorm,1,15,3.721,8.1293,305.5
arch,use_residuals,True,1,15,3.6537,7.9499,290.4
arch,use_residuals,False,1,15,3.5637,7.7671,261.3
optim,learning_rate,1e-5,1,15,3.8087,7.9108,289.5
optim,learning_rate,3e-5,1,15,3.7171,7.845,290.5
optim,learning_rate,5e-5,1,15,3.6935,7.6675,290.2
optim,learning_rate,1e-4,1,15,3.6537,7.9499,289.5
optim,learning_rate,3e-4,1,15,3.6603,7.9669,290.3
optim,learning_rate,5e-4,1,15,3.6495,7.6707,288.9
optim,learning_rate,1e-3,1,15,3.6287,7.7838,290.5
optim,batch_size,16,1,15,3.6227,8.0567,1000.2
optim,batch_size,32,1,12,3.6626,8.0506,421.9
optim,batch_size,64,1,15,3.6537,7.9499,290.1
optim,batch_size,128,1,15,3.6629,7.8737,172.1
optim,batch_size,256,1,11,3.6996,8.0875,83.6
optim,weight_decay,1e-6,1,15,3.6537,7.9499,289.5
optim,weight_decay,5e-6,1,15,3.6537,7.9499,290.3
optim,weight_decay,1e-5,1,15,3.6537,7.9499,290.4
optim,weight_decay,5e-5,1,15,3.6537,7.9499,290.5
optim,weight_decay,1e-4,1,15,3.6537,7.9499,290.6
optim,weight_decay,5e-4,1,15,3.6538,7.9506,290.3
optim,grad_clip_max_norm,0.5,1,15,3.6536,7.9848,290.8
optim,grad_clip_max_norm,1.0,1,15,3.6537,7.9499,290.4
optim,grad_clip_max_norm,2.0,1,15,3.6536,8.118,291.0
optim,grad_clip_max_norm,5.0,1,15,3.6732,8.2915,290.2
optim,grad_clip_max_norm,100.0,1,15,3.6853,8.2623,289.1
optim,warmup_epochs,0,1,15,3.6537,7.9499,290.0
optim,warmup_epochs,2,1,15,3.6575,8.0243,290.2
optim,warmup_epochs,5,1,15,3.6647,7.938,289.8
optim,warmup_epochs,10,1,15,3.6735,7.8066,290.7
calib,nll_softplus_eps,1e-5,1,15,3.6537,7.9499,288.9
calib,nll_softplus_eps,1e-4,1,15,3.6537,7.9499,290.2
calib,nll_softplus_eps,1e-3,1,15,3.6536,7.9499,290.5
calib,nll_softplus_eps,1e-2,1,15,3.6538,7.9499,290.5
calib,ensemble_seeds,1,1,15,3.6537,7.9499,290.2
calib,ensemble_seeds,3,3,15,3.6691,7.7056,290.6
calib,ensemble_seeds,5,5,15,3.7031,8.0482,290.2
calib,ensemble_seeds,7,7,13,3.6751,7.8093,251.0
aug,target_jitter_std,0.0,1,15,3.6755,7.8864,286.8
aug,target_jitter_std,0.3,1,15,3.6537,7.9515,290.0
aug,target_jitter_std,0.5,1,15,3.6537,7.9499,289.6
aug,target_jitter_std,0.8,1,15,3.6537,7.918,289.7
aug,target_jitter_std,1.0,1,15,3.6537,7.9164,289.0
aug,target_jitter_std,2.0,1,15,3.6537,7.943,289.5
aug,tm_ogt_noise_std,0.0,1,15,3.7151,7.8995,285.9
aug,tm_ogt_noise_std,2.0,1,15,3.6253,7.7069,289.4
aug,tm_ogt_noise_std,4.0,1,15,3.6366,7.7279,290.5
aug,tm_ogt_noise_std,6.0,1,15,3.6537,7.9499,289.6
aug,tm_ogt_noise_std,8.0,1,15,3.7082,7.9851,289.5
aug,tm_ogt_noise_std,10.0,1,15,3.7469,8.0504,289.9
data,iqr_filter_max,1.5,1,15,3.7112,7.6616,346.3
data,iqr_filter_max,2.0,1,14,3.7096,7.9734,289.5
data,iqr_filter_max,2.5,1,15,3.7151,7.682,305.7
data,iqr_filter_max,3.0,1,15,3.7183,8.0972,306.1
aug,mixup_alpha,0.0,1,15,3.644,8.0129,292.4
aug,mixup_alpha,0.1,1,14,3.6917,7.9964,282.6
aug,mixup_alpha,0.2,1,14,3.7096,7.9734,283.0
aug,mixup_alpha,0.3,1,15,3.7231,8.1605,302.9
aug,mixup_alpha,0.5,1,14,3.7729,8.217,282.2
aug,augment_prob,0.0,1,15,3.7325,8.2571,284.9
aug,augment_prob,0.05,1,14,3.7208,8.422,277.6
aug,augment_prob,0.1,1,15,3.699,8.0059,299.8
aug,augment_prob,0.15,1,14,3.7096,7.9734,282.0
aug,augment_prob,0.2,1,15,3.7193,8.0694,305.4
aug,augment_prob,0.3,1,15,3.7247,7.9415,309.2
aug,augment_noise_std,0.01,1,14,3.71,7.9658,281.8
aug,augment_noise_std,0.02,1,14,3.7096,7.9734,281.8
aug,augment_noise_std,0.03,1,14,3.7113,7.9861,282.5
aug,augment_noise_std,0.05,1,14,3.7183,8.0002,282.3
feat,use_aa_ratios,True,1,14,3.7096,7.9734,282.2
feat,use_aa_ratios,False,1,15,3.7423,7.7474,305.0
feat,use_ogt_prior,True,1,14,3.7096,7.9734,282.4
feat,use_ogt_prior,False,1,13,4.1178,8.3706,265.2
feat,use_tmhmm,True,1,14,3.7096,7.9734,282.6
feat,use_tmhmm,False,1,15,3.6975,8.0973,311.6
feat,use_seq_len,True,1,14,3.7096,7.9734,282.2
feat,use_seq_len,False,1,15,3.7314,8.0098,311.0
data,ogt_subsample_meso_rate,0.14,1,14,3.7096,7.9734,316.1
data,ogt_subsample_meso_rate,0.11,1,13,3.7244,8.298,283.2
data,ogt_subsample_meso_rate,0.13,1,15,3.7229,8.1684,334.6
data,ogt_subsample_meso_rate,0.15,1,12,3.7252,7.8864,279.8
optim,learning_rate,5e-4,2,14,3.713,7.8058,319.2
optim,learning_rate,1e-3,2,14,3.686,8.0987,339.8
optim,learning_rate,1e-4,2,15,3.6947,8.1131,383.2
