Loading SaProt dataset...

==================================================
Training SaProt Multi-Head Model (Seed 1)
==================================================

Seed 1 | Epoch 1/50:   0%|          | 0/14703 [00:00<?, ?it/s]
Seed 1 | Epoch 1/50:   0%|          | 0/14703 [00:00<?, ?it/s, OGT=55.606, Tm=238.885]
Seed 1 | Epoch 1/50:   0%|          | 1/14703 [00:00<40:39,  6.03it/s, OGT=55.606, Tm=238.885]
Seed 1 | Epoch 1/50:   0%|          | 43/14703 [00:00<01:14, 195.72it/s, OGT=55.606, Tm=238.885]
Seed 1 | Epoch 1/50:   1%|          | 86/14703 [00:00<00:51, 285.86it/s, OGT=55.606, Tm=238.885]
Seed 1 | Epoch 1/50:   1%|          | 86/14703 [00:00<00:51, 285.86it/s, OGT=30.210, Tm=190.807]
Seed 1 | Epoch 1/50:   1%|          | 128/14703 [00:00<00:43, 331.64it/s, OGT=30.210, Tm=190.807]
Seed 1 | Epoch 1/50:   1%|          | 172/14703 [00:00<00:39, 366.43it/s, OGT=30.210, Tm=190.807]
Seed 1 | Epoch 1/50:   1%|          | 172/14703 [00:00<00:39, 366.43it/s, OGT=12.670, Tm=93.410] 
Seed 1 | Epoch 1/50:   1%|▏         | 215/14703 [00:00<00:37, 384.18it/s, OGT=12.670, Tm=93.410]
Seed 1 | Epoch 1/50:   2%|▏         | 259/14703 [00:00<00:36, 399.23it/s, OGT=12.670, Tm=93.410]
Seed 1 | Epoch 1/50:   2%|▏         | 259/14703 [00:00<00:36, 399.23it/s, OGT=7.844, Tm=16.925] 
Seed 1 | Epoch 1/50:   2%|▏         | 304/14703 [00:00<00:34, 414.64it/s, OGT=7.844, Tm=16.925]
Seed 1 | Epoch 1/50:   2%|▏         | 349/14703 [00:00<00:33, 423.52it/s, OGT=7.844, Tm=16.925]
Seed 1 | Epoch 1/50:   3%|▎         | 396/14703 [00:01<00:32, 434.97it/s, OGT=7.844, Tm=16.925]
Seed 1 | Epoch 1/50:   3%|▎         | 396/14703 [00:01<00:32, 434.97it/s, OGT=10.415, Tm=18.347]
Seed 1 | Epoch 1/50:   3%|▎         | 442/14703 [00:01<00:32, 440.89it/s, OGT=10.415, Tm=18.347]
Seed 1 | Epoch 1/50:   3%|▎         | 487/14703 [00:01<00:32, 439.42it/s, OGT=10.415, Tm=18.347]
Seed 1 | Epoch 1/50:   3%|▎         | 487/14703 [00:01<00:32, 439.42it/s, OGT=7.658, Tm=20.218] 
Seed 1 | Epoch 1/50:   4%|▎         | 532/14703 [00:01<00:32, 438.94it/s, OGT=7.658, Tm=20.218]
Seed 1 | Epoch 1/50:   4%|▍         | 578/14703 [00:01<00:31, 443.18it/s, OGT=7.658, Tm=20.218]
Seed 1 | Epoch 1/50:   4%|▍         | 578/14703 [00:01<00:31, 443.18it/s, OGT=9.661, Tm=15.866]
Seed 1 | Epoch 1/50:   4%|▍         | 624/14703 [00:01<00:31, 447.55it/s, OGT=9.661, Tm=15.866]
Seed 1 | Epoch 1/50:   5%|▍         | 669/14703 [00:01<00:31, 445.65it/s, OGT=9.661, Tm=15.866]
Seed 1 | Epoch 1/50:   5%|▍         | 669/14703 [00:01<00:31, 445.65it/s, OGT=10.447, Tm=18.067]
Seed 1 | Epoch 1/50:   5%|▍         | 716/14703 [00:01<00:31, 450.29it/s, OGT=10.447, Tm=18.067]
Seed 1 | Epoch 1/50:   5%|▌         | 762/14703 [00:01<00:31, 445.45it/s, OGT=10.447, Tm=18.067]
Seed 1 | Epoch 1/50:   5%|▌         | 762/14703 [00:01<00:31, 445.45it/s, OGT=5.895, Tm=20.396] 
Seed 1 | Epoch 1/50:   5%|▌         | 808/14703 [00:02<00:31, 446.95it/s, OGT=5.895, Tm=20.396]
Seed 1 | Epoch 1/50:   6%|▌         | 853/14703 [00:02<00:31, 435.89it/s, OGT=5.895, Tm=20.396]
Seed 1 | Epoch 1/50:   6%|▌         | 897/14703 [00:02<00:33, 412.42it/s, OGT=5.895, Tm=20.396]
Seed 1 | Epoch 1/50:   6%|▌         | 897/14703 [00:02<00:33, 412.42it/s, OGT=7.518, Tm=14.048]
Seed 1 | Epoch 1/50:   6%|▋         | 940/14703 [00:02<00:33, 414.85it/s, OGT=7.518, Tm=14.048]
